candiedCitrus,Agrume confit,,fruits,Candied citrus,cítricos confitados,piece,piece|g|kg,
duckBreastStrip,Aiguillette de canard,aiguillette-de-canard_118455_w100h100c1cx317cy317cxt0cyt0cxb634cyb634.png,meat,Duck breast strip,tiras de pechuga de pato,g,g|kg|piece,
turkeyTenderloin,Aiguillette de dinde,,meat,Turkey tenderloin,lomo de pavo,g,g|kg|piece,
chickenTenderloin,Aiguillette de poulet,aiguillette-de-poulet_118144_w100h100c1cx463cy342cxt0cyt0cxb927cyb684.jpg,meat,Chicken tenderloin,filete de pollo,g,g|kg|piece,
garlic,Ail,ail_67514_w100h100c1cx350cy350.jpg,vegetables,Garlic,Ajo,piece,piece|g,gousse
wildGarlic,Ail des ours,,vegetables,Wild garlic,ajo silvestre,piece,piece|g|kg,
garlicPowder,Ail en poudre,ail-en-poudre_109577_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,vegetables,Garlic powder,Polvo de ajo,g,g|piece,
garlicPowder2,Ail semoule,ail-semoule_67618_w100h100c1cx350cy350.jpg,spices,Garlic powder,Polvo de ajo,g,g|piece,
chickenWing,Aile de poulet,aile-de-poulet_68942_w100h100c1cxt0cyt0cxb700cyb700.jpg,meat,Chicken wing,ala de pollo,piece,piece|g,
rayWing,Aile de raie,,fish,Ray wing,Ala de raya,piece,piece|g,
chickenWing2,Aileron de poulet,aileron-de-poulet_81892_w100h100c1cx2350cy2350cxt0cyt0cxb4700cyb4700.jpg,meat,Chicken wing,ala de pollo,g,g|kg|piece,
garlic2,Aillet,,vegetables,Garlic,Ajo,piece,piece|g,gousse
aioli,Aïoli,aioli_117474_w100h100c1cx866cy866cxt0cyt0cxb1732cyb1732.jpg,condiments,Aioli,Alioli,g,g|kg|ml|l|piece,
cranberries,Airelles,airelles_67632_w100h100c1cx350cy350cxt0cyt0cxb700cyb700.jpg,fruits,Cranberries,arándanos rojos,piece,piece|g|kg,
alcohol,Alcool,alcool_118146_w100h100c1cx1787cy2130cxt0cyt0cxb3574cyb4261.png,beverages,Alcohol,Alcohol,ml,ml|l|cl|piece,
alcohol96,Alcool > 96°,,beverages,Alcohol > 96°,Alcohol > 96°,ml,ml|l|cl|piece,
40Alcohol,Alcool à 40°,,beverages,40% alcohol,40% de alcohol,ml,ml|l|cl|piece,
45Alcohol,Alcool à 45°,,beverages,45% alcohol,45% de alcohol,ml,ml|l|cl|piece,
60Alcohol,Alcool à 60°,,beverages,60% alcohol,60% de alcohol,ml,ml|l|cl|piece,
90Alcohol,Alcool à 90°,,beverages,90% alcohol,90% de alcohol,ml,ml|l|cl|piece,
95Alcohol,Alcool à 95°,,beverages,95% alcohol,95% de alcohol,ml,ml|l|cl|piece,
juniperAlcohol,Alcool de genièvre,,beverages,Juniper alcohol,alcohol de enebro,ml,ml|l|cl|piece,
pearLiqueur,Alcool de poire,,beverages,Pear liqueur,Licor de pera,ml,ml|l|cl|piece,
riceAlcohol,Alcool de riz,,grains,Rice alcohol,alcohol de arroz,g,g|kg|piece,
fruitAlcohol,Alcool pour fruits,,beverages,Fruit alcohol,alcohol de frutas,ml,ml|l|cl|piece,
alevin,Alevin,,fish,Alevin,Alevín,g,g|kg|piece,
alfalfa,Alfafa,alfafa_117545_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,vegetables,Alfalfa,Alfalfa,piece,piece|g|kg,
sodiumAlginate,Alginate de sodium,,preparation,Sodium alginate,alginato de sodio,g,g|ml|piece,
dulseSeaweed,Algue dulse,,vegetables,Dulse seaweed,Alga dulse,piece,piece|g|kg,
japaneseSeaweed,Algue japonaise,algue-japonaise_117492_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,vegetables,Japanese seaweed,alga marina japonesa,piece,piece|g|kg,
kombuSeaweed,Algue Kombu,,vegetables,Kombu Seaweed,Alga kombu,piece,piece|g|kg,
driedSeaweed,Algue séchée,algue-sechee_117410_w100h100c1cx866cy866cxt0cyt0cxb1732cyb1732.jpg,vegetables,Dried seaweed,Algas marinas secas,piece,piece|g|kg,
alkermes,Alkermes,,beverages,Alkermes,Alkermes,ml,ml|l|cl|piece,
allBran,All-Bran®,,grains,All-Bran®,All-Bran®,g,g|kg|piece,
baconMatchsticks,Allumettes de bacon,,meat,Bacon matchsticks,Palillos de tocino,g,g|kg|piece,
smokedMatches,Allumettes Fumées,,cleaning_products,Smoked Matches,Fósforos ahumados,piece,piece,
aloeVera,Aloé vera,aloe-vera_112762_w100h100c1cx359cy243cxt0cyt0cxb719cyb486.jpg,fruits,Aloe vera,Aloe vera,piece,piece|g|kg,
shad,Alose,,fish,Shad,Sábalo,g,g|kg|piece,
lark,Alouette,,dairy,Lark,Alondra,g,g|kg|piece,
almonds,Amandes,amandes_67684_w100h100c1cx350cy350.jpg,snacks,Almonds,Almendras,g,g|piece,
sliveredAlmonds,Amandes effilées,amandes-effilees_83298_w100h100c1cx1900cy1900cxt0cyt0cxb3800cyb3800.jpg,snacks,Slivered almonds,almendras laminadas,g,g|piece,
almondPowder,Amandes en poudre,amandes-en-poudre_67694_w100h100c1cx2056cy1512.jpg,snacks,Almond powder,Polvo de almendras,g,g|piece,
wholeAlmonds,Amandes entières,amandes-entieres_83294_w100h100c1cx2396cy1917cxt0cyt0cxb4792cyb3834.jpg,snacks,Whole almonds,almendras enteras,g,g|piece,
amaranth,Amarante,amarante_117540_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,grains,Amaranth,Amaranto,g,g|kg|piece,
amaretti,Amaretti,amaretti_117534_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,snacks,Amaretti,Amaretti,g,g|piece,
amaretto,Amaretto,amaretto_68951_w100h100c1cxt0cyt0cxb700cyb700.jpg,beverages,Amaretto,Amaretto,ml,ml|l|cl|piece,
starch,Amidon,,preparation,Starch,Almidón,g,g|ml|piece,
pineapple,Ananas,ananas_67503_w100h100c1cx350cy350.jpg,fruits,Pineapple,Piña,piece,piece|g|kg,
anchovyPaste,Anchoïade,,condiments,Anchovy paste,Pasta de anchoas,g,g|kg|ml|l|piece,
anchovy,Anchois,anchois_67541_w100h100c1cx350cy350.jpg,fish,Anchovy,Anchoa,g,g|kg|piece,
sillyDog,Andouille,andouille_68952_w100h100c1cxt0cyt0cxb700cyb700.jpg,meat,Silly dog,Perro tonto,g,g|kg|piece,
andouillette,Andouillette,andouillette_118440_w100h100c1cx318cy315cxt0cyt0cxb636cyb630.png,meat,Andouillette,Andouillette,piece,piece|g|kg,
dill,Aneth,aneth_67431_w100h100c1cx350cy350.jpg,spices,Dill,Eneldo,piece,piece|g,brin
driedDill,Aneth séchée,aneth-sechee_109579_w100h100c1cx1579cy1579cxt0cyt0cxb3158cyb3158.jpg,spices,Dried dill,eneldo seco,piece,piece|g,brin
angelic,Angélique,,spices,Angelic,Angelical,g,g|piece,
angostura,Angostura,,beverages,Angostura,Angostura,ml,ml|l|cl|piece,
angosturaBitters,Angostura bitters,,beverages,Angostura bitters,Amargo de Angostura,ml,ml|l|cl|piece,
eel,Anguille,anguille_69215_w100h100c1cxt0cyt0cxb700cyb700.jpg,fish,Eel,Anguila,g,g|kg|piece,
anise,Anis,anis_67406_w100h100c1cx1402cy918.jpg,spices,Anise,Anís,g,g|piece,
powderedAnise,Anis en poudre,anis-en-poudre_146767_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Powdered anise,Anís en polvo,g,g|piece,
starAnise,Anis étoilé,anis-etoile_68953_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Star anise,Anís estrellado,g,g|piece,
anisette,Anisette,,spices,Anisette,Anisete,ml,ml|l|cl|piece,
antiPectin,Anti-pectine,,preparation,Anti-pectin,Antipectina,g,g|ml|piece,
espelettePepperPdo,AOP Piment d'Espelette,aop-piment-d-espelette_151759_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Espelette Pepper PDO,Pimiento de Espelette DOP,g,g|piece,
apRicube,Apéricube®,,dairy,Apéricube®,Apéricube®,g,g|kg|piece,
apRifruit,Apérifruit,,dairy,Apérifruit,Apérifruit,g,g|kg|piece,
aperol,Aperol,,beverages,Aperol,Aperol,ml,ml|l|cl|piece,
appenzeller,Appenzeller,appenzeller_75700_w100h100c1cx318cy173cxt0cyt0cxb637cyb346.png,dairy,Appenzeller,Appenzeller,g,g|kg|piece,
apremont,Apremont,,beverages,Apremont,Apremont,ml,ml|l|cl|piece,
aquafaba,Aquafaba,,beverages,Aquafaba,Aquafaba,ml,ml|l|cl|piece,
peanut,Arachide,arachide_69218_w100h100c1cxt0cyt0cxb700cyb700.jpg,snacks,Peanut,Maní,g,g|piece,
seaSpider,Araignée de mer,araignee-de-mer_75702_w100h100c1cx3000cy2000cxt0cyt0cxb6000cyb4000.jpg,seafood,Sea spider,araña de mar,g,g|kg|piece,
pigSpider,Araignée de porc,araignee-de-porc_162640_w100h100c1cxt0cyt0cxb500cyb500.png,meat,Pig spider,Araña cerdo,g,g|kg|piece,
strawberryTree,Arbouse,arbouse_75703_w100h100c1cx2952cy2010cxt0cyt0cxb5904cyb4020.jpg,fruits,Strawberry tree,Árbol de fresa,piece,piece|g|kg,
seaBreamBones,Arêtes de daurade,,fish,sea ​​bream bones,espinas de dorada,g,g|kg|piece,
armagnac,Armagnac,armagnac_67614_w100h100c1cx350cy350.jpg,beverages,Armagnac,Armagnac,ml,ml|l|cl|piece,
mugwort,Armoise,,spices,Mugwort,Artemisa,g,g|piece,
aromatic,Aromate,,preparation,Aromatic,Aromático,g,g|ml|piece,
aroma,Arôme,arome_118156_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Aroma,Aroma,g,g|ml|piece,
bitterAlmondFlavor,Arôme amande amère,arome-amande-amere_68948_w100h100c1cxt0cyt0cxb700cyb700.jpg,preparation,Bitter almond flavor,Sabor a almendra amarga,g,g|ml|piece,
caramelFlavor,Arôme caramel,arome-caramel_111663_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Caramel flavor,Sabor a caramelo,g,g|ml|piece,
cherryFlavor,Arôme cerise,arome-cerise_118150_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Cherry flavor,Sabor a cereza,g,g|ml|piece,
lemonFlavor,Arôme citron,arome-citron_118149_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Lemon flavor,Sabor a limón,g,g|ml|piece,
coconutFlavor,Arôme coco,arome-coco_118151_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Coconut flavor,Sabor a coco,g,g|ml|piece,
coffeeAroma,Arôme de café,arome-de-cafe_111662_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Coffee aroma,Aroma de café,g,g|ml|piece,
strawberryFlavor,Arôme de fraise,arome-de-fraise_111661_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Strawberry flavor,Sabor a fresa,g,g|ml|piece,
vegetableFlavor,Arôme de légumes,arome-de-legumes_111667_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Vegetable flavor,Sabor a vegetales,g,g|ml|piece,
hazelnutAroma,Arôme de noisettes,arome-de-noisettes_111670_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Hazelnut aroma,Aroma a avellana,g,g|ml|piece,
pistachioFlavor,Arôme de pistache,arome-de-pistache_111668_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Pistachio flavor,Sabor a pistacho,g,g|ml|piece,
rumFlavorAlcoholFree,Arôme de rhum (sans alcool),arome-de-rhum-sans-alcool_118152_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Rum flavor (alcohol-free),Sabor a ron (sin alcohol),ml,ml|l|cl|piece,
orangeBlossomFlavor,Arôme fleur d'oranger,arome-fleur-d-oranger_69079_w100h100c1cxt0cyt0cxb700cyb700.jpg,preparation,Orange blossom flavor,Sabor a flor de naranjo,g,g|ml|piece,
naturalOrangeFlavor,Arôme naturel d'orange,arome-naturel-d-orange_118153_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Natural orange flavor,Sabor natural a naranja,g,g|ml|piece,
naturalLemonFlavor,Arôme naturel de citron,arome-naturel-de-citron_118154_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,preparation,Natural lemon flavor,Sabor natural a limón,g,g|ml|piece,
vanillaFlavor,Arôme vanille,arome-vanille_68937_w100h100c1cxt0cyt0cxb700cyb700.jpg,preparation,Vanilla flavor,Sabor a vainilla,g,g|ml|piece,
violetAroma,Arôme violette,arome-violette_111681_w100h100c1cx1590cy2386cxt0cyt0cxb3181cyb4772.jpg,preparation,Violet aroma,Aroma de violeta,g,g|ml|piece,
arquebus,Arquebuse,,beverages,Arquebus,Arcabuz,ml,ml|l|cl|piece,
arrowroot,Arrow root,,preparation,Arrowroot,Arrurruz,g,g|ml|piece,
artichoke,Artichaut,artichaut_67701_w100h100c1cx350cy350.jpg,vegetables,Artichoke,Alcachofa,piece,piece|g|kg,
purpleArtichoke,Artichaut violet,artichaut-violet_68956_w100h100c1cxt0cyt0cxb700cyb700.jpg,vegetables,Purple artichoke,alcachofa morada,piece,piece|g|kg,
sallowArtichokes,Artichauts camus,,vegetables,Sallow artichokes,Alcachofas pálidas,piece,piece|g|kg,
asafoetida,Asafoetida,,spices,Asafoetida,Asa fétida,g,g|piece,
ashwagandha,Ashwagandha,,spices,Ashwagandha,Ashwagandha,g,g|piece,
aspartame,Aspartame,,condiments,Aspartame,aspartamo,g,g|kg|ml|l|piece,
asparagus,Asperge,asperge_67425_w100h100c1cx350cy350.jpg,vegetables,Asparagus,Espárragos,piece,piece|g|kg,
whiteAsparagus,Asperge blanche,asperge-blanche_109501_w100h100c1cx2487cy1959cxt0cyt0cxb4975cyb3918.jpg,vegetables,White asparagus,espárragos blancos,piece,piece|g|kg,
greenAsparagus,Asperge verte,asperge-verte_78285_w100h100c1cx2500cy2500cxt0cyt0cxb5000cyb5000.jpg,vegetables,Green asparagus,espárragos verdes,piece,piece|g|kg,
woodruff,Aspérule,asperule_117445_w100h100c1cx866cy866cxt0cyt0cxb1732cyb1732.jpg,spices,Woodruff,Woodruff,g,g|piece,
sushiSeasoning,Assaisonnement pour sushi,assaisonnement-pour-sushi_151727_w100h100c1cxt0cyt0cxb500cyb334.jpg,spices,Sushi seasoning,Condimento para sushi,g,g|piece,
astiSpumante,Asti spumante,,beverages,Asti spumante,Asti espumoso,ml,ml|l|cl|piece,
atriau,Atriau,,meat,Atriau,Atriau,g,g|kg|piece,
attiK,Attiéké,,grains,Attiéké,Attiéké,g,g|kg|piece,
eggplant,Aubergine,aubergine_67479_w100h100c1cx350cy350.jpg,vegetables,Eggplant,Berenjena,piece,piece|g|kg,
others,Autres,,other,Others,Otros,piece,piece|g|ml,
ostrich,Autruche,autruche_84346_w100h100c1cx250cy250cxt0cyt0cxb500cyb500.jpg,meat,Ostrich,Avestruz,g,g|kg|piece,
avocado,Avocat,avocat_67382_w100h100c1cx350cy350.jpg,fruits,Avocado,Abogado,piece,piece|g|kg,
oats,Avoine,avoine_67361_w100h100c1cx350cy350.jpg,grains,Oats,Avena,g,g|kg|piece,
baba,Baba,,snacks,Baba,Baba,g,g|piece,
buttermilk,Babeurre,,dairy,Buttermilk,Suero de la leche,g,g|kg|piece,
babybel,Babybel,babybel_81529_w100h100c1cx1347cy1329cxt0cyt0cxb2694cyb2658.jpg,dairy,Babybel,Babybel,g,g|kg|piece,
bacardi,Bacardi,,beverages,Bacardi,Bacardi,ml,ml|l|cl|piece,
bacon,Bacon,bacon_67592_w100h100c1cx350cy350.jpg,meat,Bacon,Tocino,piece,piece|g,tranche
bagel,Bagel,bagel_95907_w100h100c1cx2474cy2460cxt0cyt0cxb4949cyb4920.jpg,grains,Bagel,Rosquilla,piece,piece|g,
baguette,Baguette,baguette_67472_w100h100c1cx350cy350.jpg,grains,Baguette,Junquillo,piece,piece|g,
serviceberry,Baie d'amélanchier,,fruits,Serviceberry,amelanchier,piece,piece|g|kg,
rosehipBerry,Baie d'églantier,baie-d-eglantier_117595_w100h100c1cxt0cyt0cxb591cyb591.jpg,fruits,Rosehip berry,baya de rosa mosqueta,piece,piece|g|kg,
cardamomBerry,Baie de cardamome,,spices,Cardamom berry,Baya de cardamomo,g,g|piece,
juniperBerry,Baie de genévrier,baie-de-genevrier_69216_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Juniper berry,Baya de enebro,g,g|piece,
sichuanBay,Baie de Sichuan,,spices,Sichuan Bay,Bahía de Sichuan,g,g|piece,
elderberry,Baie de sureau,baie-de-sureau_117518_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,fruits,Elderberry,Saúco,piece,piece|g|kg,
groundBerry,Baie moulu,,fruits,Ground berry,baya de tierra,piece,piece|g|kg,
redBerry,Baie rouge,,fruits,Red Berry,Baya roja,piece,piece|g|kg,
seaBuckthornBerries,Baies d'argousier,baies-d-argousier_117552_w100h100c1cx295cy295cxt0cyt0cxb591cyb591.jpg,fruits,Sea buckthorn berries,bayas de espino amarillo,piece,piece|g|kg,
gojiBerries,Baies de goji,baies-de-goji_81562_w100h100c1cx2500cy1666cxt0cyt0cxb5000cyb3333.jpg,fruits,Goji berries,bayas de goji,piece,piece|g|kg,
myrtleBerries,Baies de myrte,,fruits,Myrtle berries,Bayas de mirto,piece,piece|g|kg,
greenPeppercorns,Baies de poivre vert,,spices,Green peppercorns,granos de pimienta verde,g,g|piece,
pinkPeppercorns,Baies roses,baies-rose_68959_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Pink peppercorns,granos de pimienta rosa,g,g|piece,
baileyS,Bailey's,bailey-s_118630_w100h100c1cx617cy617cxt0cyt0cxb1234cyb1234.png,beverages,Bailey's,Bailey's,ml,ml|l|cl|piece,
bakingPowder,Baking powder,,preparation,Baking powder,Levadura en polvo,g,g|ml|piece,
bamboo,Bambou,bambou_67740_w100h100c1cx350cy350.jpg,vegetables,Bamboo,Bambú,piece,piece|g|kg,
banana,Banane,banane_67637_w100h100c1cx350cy350.jpg,fruits,Banana,Banana,piece,piece|g|kg,
plantainBanana,Banane plantain,banane-plantain_68961_w100h100c1cxt0cyt0cxb700cyb700.jpg,fruits,Plantain banana,Plátano,piece,piece|g|kg,
banania,Banania,,beverages,Banania,Plátano,ml,ml|l|cl|piece,
banon,Banon,banon_69221_w100h100c1cxt0cyt0cxb700cyb700.jpg,dairy,Banon,Banón,g,g|kg|piece,
banyuls,Banyuls,,beverages,Banyuls,Banyuls,ml,ml|l|cl|piece,
bar,Bar,bar_161008_w100h100c1cxt0cyt0cxb500cyb500.png,fish,Bar,Bar,g,g|kg|piece,
starAnise2,étoile de badiane,badiane_67561_w100h100c1cx350cy350.jpg,spices,star anise,anís estrellado,g,g|piece,
cottonCandy,Barbe-à-papa,,snacks,Cotton candy,Algodón de azúcar,g,g|piece,
barbel,Barbeau,,fish,Barbel,Barbo,g,g|kg|piece,
brill,Barbue,,fish,Brill,Rodaballo,g,g|kg|piece,
baconBarding,Barde de lard,,meat,Bacon barding,Barda de tocino,g,g|kg|piece,
bardiRe,Bardière,,meat,Bardière,Bardière,g,g|kg|piece,
marbledBretonBar,Barre bretonne marbrée,,snacks,marbled Breton bar,barra bretona jaspeada,g,g|piece,
chocolateBar,Barre chocolatée,barre-chocolatee_69204_w100h100c1cxt0cyt0cxb700cyb700.jpg,snacks,Chocolate bar,Barra de chocolate,g,g|piece,
kinderChocolateBar,Barre chocolatée kinder,,snacks,Kinder chocolate bar,barra de chocolate Kinder,g,g|piece,
basil,Basilic,basilic_67553_w100h100c1cx350cy350.jpg,spices,Basil,Albahaca,piece,piece|g,feuille
lemonBasil,Basilic citron,basilic-citron_68939_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Lemon Basil,Albahaca de limón,piece,piece|g,feuille
freshBasil,Basilic frais,basilic-frais_68938_w100h100c1cxt0cyt0cxb700cyb700.jpg,spices,Fresh basil,Albahaca fresca,piece,piece|g,feuille
lowerCoast,Basse-côte,,meat,Lower Coast,Costa Baja,g,g|kg|piece,
bastogne,Bastogne,,snacks,Bastogne,Bastogne,g,g|piece,
batavia,Batavia,batavia_68945_w100h100c1cxt0cyt0cxb700cyb700.jpg,vegetables,Batavia,Batavia,piece,piece|g|kg,
whiteChocolateSticks,Bâtonnets au chocolat blanc,,snacks,White chocolate sticks,palitos de chocolate blanco,g,g|piece,
anglerfish,Baudroie,baudroie_75708_w100h100c1cx2959cy1972cxt0cyt0cxb5919cyb3945.jpg,meat,Anglerfish,Pez rape,g,g|kg|piece,
bib,Bavette,bavette_139346_w100h100c1cx411cy411cxt0cyt0cxb822cyb822.png,meat,Bib,Babero,g,g|kg|piece,
beaufort,Beaufort,beaufort_161475_w100h100c1cxt0cyt0cxb1024cyb1024.png,dairy,Beaufort,Beaufort,g,g|kg|piece,
beaujolais,Beaujolais,beaujolais_76273_w100h100c1cx2083cy2083cxt0cyt0cxb4167cyb4167.jpg,beverages,Beaujolais,Beaujolais,ml,ml|l|cl|piece,
beaumesDeVenise,Beaumes de Venise,,beverages,Beaumes de Venise,Beaumes de Venise,ml,ml|l|cl|piece,
woodcock,Bécasse,,meat,Woodcock,Woodcock,g,g|kg|piece,
bechamel,Béchamel,bechamel_77537_w100h100c1cx1850cy1850cxt0cyt0cxb3700cyb3700.jpg,condiments,Bechamel,Besamel,g,g|kg|ml|l|piece,
beefSteak,Beef steak,beef-steak_69171_w100h100c1cxt0cyt0cxb700cyb700.jpg,meat,Beef steak,Filete de res,g,g|kg|piece,
frozenCalamariFritter,Beignet de calamar surgelé,beignet-de-calamar-surgele_152238_w100h100c1cxt0cyt0cxb700cyb700.png,frozen,Frozen calamari fritter,buñuelos de calamar congelados,g,g|kg|piece,
bLanger,Bélangère,,vegetables,Bélanger,Bélanger,piece,piece|g|kg,
benedictine,Bénédictine,,beverages,Benedictine,benedictino,ml,ml|l|cl|piece,
beniShGaPickledGinger,Beni Shôga (gingembre mariné),,spices,Beni Shôga (pickled ginger),Beni Shôga (jengibre encurtido),g,g|piece,
bergamot,Bergamote,bergamote_69224_w100h100c1cxt0cyt0cxb700cyb700.jpg,fruits,Bergamot,Bergamota,piece,piece|g|kg,
bergerac,Bergerac,,beverages,Bergerac,Bergerac,ml,ml|l|cl|piece,
berkoukes,Berkoukes,,grains,Berkoukes,Berkoukes,g,g|kg|piece,
bernique,Bernique,bernique_117087_w100h100c1cx1475cy1200cxt0cyt0cxb2950cyb2400.jpg,seafood,Bernique,Bernique,g,g|kg|piece,
bTcheye,Bètcheye,,spices,Bètcheye,Bètcheye,g,g|piece,
swissChard,Bette à carde,bettes-a-cardes_69223_w100h100c1cxt0cyt0cxb700cyb700.jpg,vegetables,Swiss chard,acelga,piece,piece|g|kg,
beet,Betterave,betterave_67490_w100h100c1cx350cy350.jpg,vegetables,Beet,Remolacha,piece,piece|g|kg,
cookedYellowBeetroot,Betterave jaune cuite,,vegetables,cooked yellow beetroot,remolacha amarilla cocida,piece,piece|g|kg,
mediumSizedRedBeet,Betterave rouge de taille moyenne,,vegetables,Medium-sized red beet,Remolacha roja de tamaño mediano,piece,piece|g|kg,
butter,Beurre,beurre_115998_w100h100c1cx912cy821cxt0cyt0cxb1824cyb1643.jpg,dairy,Butter,Manteca,g,g|kg|piece,
reducedFatButter,Beurre allégé,beurre-allege_68917_w100h100c1cxt0cyt0cxb300cyb300.jpg,dairy,Reduced-fat butter,Mantequilla baja en grasa,g,g|kg|piece,
whiteButter,Beurre blanc,beurre-blanc_111699_w100h100c1cx332cy262cxt0cyt0cxb665cyb525.jpg,dairy,White butter,Mantequilla blanca,g,g|kg|piece,
almondButter,Beurre d'amande,beurre-d-amande_111388_w100h100c1cx150cy150cxt0cyt0cxb300cyb300.jpg,dairy,Almond butter,mantequilla de almendras,g,g|kg|piece,
peanutButter,Beurre d'arachide,beurre-d-arachide_68921_w100h100c1cxt0cyt0cxb700cyb700.jpg,dairy,Peanut butter,Manteca de cacahuete,g,g|kg|piece,
snailButter,Beurre d'escargot,beurre-d-escargot_81518_w100h100c1cx1900cy1900cxt0cyt0cxb3800cyb3800.jpg,dairy,Snail butter,Mantequilla de caracol,g,g|kg|piece,
peanutButter2,Beurre de cacahuètes,beurre-de-cacahuetes_68922_w100h100c1cxt0cyt0cxb700cyb700.jpg,dairy,Peanut butter,Manteca de cacahuete,g,g|kg|piece,
cocoaButter,Beurre de cacao,beurre-de-cacao_111703_w100h100c1cx376cy232cxt0cyt0cxb752cyb465.jpg,dairy,Cocoa butter,manteca de cacao,g,g|kg|piece,
semiSaltedButter,Beurre demi-sel,beurre-demi-sel_115999_w100h100c1cx912cy821cxt0cyt0cxb1824cyb1643.jpg,dairy,Semi-salted butter,mantequilla semisalada,g,g|kg|piece,
sweetButter,Beurre doux,beurre-doux_116000_w100h100c1cx912cy821cxt0cyt0cxb1824cyb1643.jpg,dairy,Sweet butter,mantequilla dulce,g,g|kg|piece,
saltedButter,Beurre salé,beurre-sale_116001_w100h100c1cx912cy821cxt0cyt0cxb1824cyb1643.jpg,dairy,Salted butter,mantequilla salada,g,g|kg|piece,
softButter,Beurre tendre,beurre-tendre_68920_w100h100c1cxt0cyt0cxb300cyb300.jpg,dairy,Soft butter,mantequilla blanda,g,g|kg|piece,
bicarbonate,Bicarbonate,bicarbonate_67615_w100h100c1cx350cy350.jpg,preparation,Bicarbonate,Bicarbonato,g,g|ml|piece,
doe,Biche,,meat,Doe,Gama,g,g|kg|piece,
